iter	Passed	Remaining
1445	159624	171546
1446	159714	171414
1447	159790	171266
1448	159900	171156
1449	159994	171029
1450	160092	170905
1451	160233	170827
1452	160362	170737
1453	160501	170657
1454	160573	170506
1455	160649	170359
1456	160778	170268
1457	160925	170196
1458	161049	170100
1459	161123	169951
1460	161237	169845
1461	161385	169775
1462	161483	169651
1463	161615	169563
1464	161766	169495
1465	161914	169425
1466	162060	169351
1467	162138	169207
1468	162266	169115
1469	162394	169022
1470	162545	168954
1471	162678	168867
1472	162785	168753
1473	162859	168604
1474	162997	168522
1475	163140	168445
1476	163287	168373
1477	163384	168248
1478	163459	168100
1479	163585	168006
1480	163712	167913
1481	163852	167832
1482	163925	167684
1483	164051	167589
1484	164175	167491
1485	164300	167395
1486	164426	167301
1487	164533	167187
1488	164606	167038
1489	164679	166889
1490	164819	166809
1491	164958	166727
1492	165097	166645
1493	165238	166565
1494	165310	166416
1495	165452	166336
1496	165577	166241
1497	165717	166160
1498	165841	166062
1499	165980	165980
1500	166084	165863
1501	166233	165790
1502	166358	165693
1503	166465	165579
1504	166591	165484
1505	166731	165403
1506	166804	165255
1507	166946	165175
1508	167071	165079
1509	167199	164984
1510	167312	164876
1511	167450	164792
1512	167590	164710
1513	167704	164602
1514	167806	164483
1515	167934	164389
1516	168081	164314
1517	168207	164218
1518	168348	164137
1519	168470	164036
1520	168579	163924
1521	168705	163828
1522	168779	163681
1523	168854	163536
1524	168996	163455
1525	169129	163366
1526	169223	163239
1527	169375	163167
1528	169501	163071
1529	169643	162990
1530	169770	162895
1531	169895	162798
1532	170034	162713
1533	170171	162627
1534	170314	162548
1535	170444	162454
1536	170558	162346
1537	170656	162223
1538	170800	162143
1539	170909	162030
1540	171059	161957
1541	171202	161876
1542	171345	161795
1543	171449	161677
1544	171594	161599
1545	171703	161486
1546	171846	161404
1547	171949	161286
1548	172078	161191
1549	172218	161107
1550	172363	161028
1551	172510	160950
1552	172612	160830
1553	172726	160722
1554	172819	160593
1555	172949	160500
1556	173050	160380
1557	173173	160279
1558	173302	160185
1559	173420	160080
1560	173553	159989
1561	173627	159843
1562	173749	159742
1563	173854	159626
1564	173960	159510
1565	174069	159397
1566	174193	159297
1567	174308	159190
1568	174400	159061
1569	174508	158947
1570	174647	158861
1571	174752	158744
1572	174896	158663
1573	175021	158564
1574	175133	158453
1575	175272	158368
1576	175372	158247
1577	175503	158153
1578	175635	158060
